laptop_ID,Company,Product,TypeName,Inches,screenresolution_height,screenresolution_width,touchscreen,Cpu_name,cpu_brand,Cpu_speed,Ram,primary_memory,secondary_memory,memory_type,gpu_name,gpu_brand,OpSys,Weight,Price_euros
1,Apple,"MacBook Pro",Ultrabook,13.3,2560,1600,0,"  Core i5  ",Intel,2.3,8,"128 ",0,SSD,Intel,"Graphics 640",macos,1,1340
2,Apple,"Macbook Air",Ultrabook,13.3,1440,900,0,"  Core i5  ",Intel,1.8,8,"128 ",0,"flash storage",Intel,"Graphics 6000",macos,1,899
3,HP,"250 G6",Notebook,15.6,1920,1080,0,"  Core i5 7200U  ",Intel,2.5,8,"256 ",0,SSD,Intel,"Graphics 620",N/A,2,575
4,Apple,"MacBook Pro",Ultrabook,15.4,2880,1800,0,"  Core i7  ",Intel,2.7,16,"512 ",0,SSD,AMD,"Pro 455",macos,2,2537
5,Apple,"MacBook Pro",Ultrabook,13.3,2560,1600,0,"  Core i5  ",Intel,3.1,8,"256 ",0,SSD,Intel,"Graphics 650",macos,1,1804
6,Acer,"Aspire 3",Notebook,15.6,1366,768,0,"  A9-Series 9420  ",AMD,3,4,"500 ",0,HDD,AMD,"Radeon R5",windows,2,400
7,Apple,"MacBook Pro",Ultrabook,15.4,2880,1800,0,"  Core i7  ",Intel,2.2,16,"256 ",0,"flash storage",Intel,"Pro Graphics",macos,2,2140
8,Apple,"Macbook Air",Ultrabook,13.3,1440,900,0,"  Core i5  ",Intel,1.8,8,"256 ",0,"flash storage",Intel,"Graphics 6000",macos,1,1159
9,Asus,"ZenBook UX430UN",Ultrabook,14,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,16,"512 ",0,SSD,Nvidia,"GeForce MX150",windows,1,1495
10,Acer,"Swift 3",Ultrabook,14,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,770
11,HP,"250 G6",Notebook,15.6,1366,768,0,"  Core i5 7200U  ",Intel,2.5,4,"500 ",0,HDD,Intel,"Graphics 620",N/A,2,394
12,HP,"250 G6",Notebook,15.6,1920,1080,0,"  Core i3 6006U  ",Intel,2,4,"500 ",0,HDD,Intel,"Graphics 520",N/A,2,345
13,Apple,"MacBook Pro",Ultrabook,15.4,2880,1800,0,"  Core i7  ",Intel,2.8,16,"256 ",0,SSD,AMD,"Pro 555",macos,2,2440
14,Dell,"Inspiron 3567",Notebook,15.6,1920,1080,0,"  Core i3 6006U  ",Intel,2,4,"256 ",0,SSD,AMD,"R5 M430",windows,2,499
15,Apple,"MacBook 12""",Ultrabook,12,2304,1440,0,"  Core M m3  ",Intel,1.2,8,"256 ",0,SSD,Intel,"Graphics 615",macos,1,1262
16,Apple,"MacBook Pro",Ultrabook,13.3,2560,1600,0,"  Core i5  ",Intel,2.3,8,"256 ",0,SSD,Intel,"Graphics 640",macos,1,1519
17,Dell,"Inspiron 3567",Notebook,15.6,1920,1080,0,"  Core i7 7500U  ",Intel,2.7,8,"256 ",0,SSD,AMD,"R5 M430",windows,2,745
18,Apple,"MacBook Pro",Ultrabook,15.4,2880,1800,0,"  Core i7  ",Intel,2.9,16,"512 ",0,SSD,AMD,"Pro 560",macos,2,2858
19,Lenovo,"IdeaPad 320-15IKB",Notebook,15.6,1920,1080,0,"  Core i3 7100U  ",Intel,2.4,8,1024,0,HDD,Nvidia,"GeForce 940MX",N/A,2,499
20,Dell,"XPS 13",Ultrabook,13.3,1920,1080,1,"  Core i5 8250U  ",Intel,1.6,8,"128 ",0,SSD,Intel,"Graphics 620",windows,1,979
21,Asus,"Vivobook E200HA",Netbook,11.6,1366,768,0,"  Atom x5-Z8350  ",Intel,1.44,2,"32 ",0,"flash storage",Intel,"Graphics 400",windows,1,192
22,Lenovo,"Legion Y520-15IKBN",Gaming,15.6,1920,1080,0,"  Core i5 7300HQ  ",Intel,2.5,8,"128 ",1024,hybrid,Nvidia,"GTX 1050",windows,2,999
23,HP,"255 G6",Notebook,15.6,1366,768,0,"  E-Series E2-9000e  ",AMD,1.5,4,"500 ",0,HDD,AMD,"Radeon R2",N/A,2,258
24,Dell,"Inspiron 5379","2 in 1 Convertible",13.3,1920,1080,1,"  Core i5 8250U  ",Intel,1.6,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,819
25,HP,"15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)",Ultrabook,15.6,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,659
26,Dell,"Inspiron 3567",Notebook,15.6,1366,768,0,"  Core i3 6006U  ",Intel,2,4,1024,0,HDD,Intel,"Graphics 520",windows,2,419
27,Apple,"MacBook Air",Ultrabook,13.3,1440,900,0,"  Core i5  ",Intel,1.6,8,"128 ",0,"flash storage",Intel,"Graphics 6000",macos,1,1099
28,Dell,"Inspiron 5570",Notebook,15.6,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,"256 ",0,SSD,AMD,"Radeon 530",windows,2,800
29,Dell,"Latitude 5590",Ultrabook,15.6,1920,1080,0,"  Core i7 8650U  ",Intel,1.9,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,1298
30,HP,"ProBook 470",Notebook,17.3,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,1024,0,HDD,Nvidia,"GeForce 930MX",windows,2,896
31,Chuwi,"LapBook 15.6""",Notebook,15.6,1920,1080,0,"  Atom x5-Z8300  ",Intel,1.44,4,"64 ",0,"flash storage",Intel,"HD Graphics",windows,2,245
32,Asus,"E402WA-GA010T (E2-6110/2GB/32GB/W10)",Notebook,14,1366,768,0,"  E-Series E2-6110  ",AMD,1.5,2,"32 ",0,"flash storage",AMD,"Radeon R2",windows,2,199
33,HP,"17-ak001nv (A6-9220/4GB/500GB/Radeon",Notebook,17.3,1920,1080,0,"  A6-Series 9220  ",AMD,2.5,4,"500 ",0,HDD,AMD,"Radeon 530",windows,3,439
34,Dell,"XPS 13",Ultrabook,13.3,3200,1800,1,"  Core i7 8550U  ",Intel,1.8,16,"512 ",0,SSD,Intel,"Graphics 620",windows,1,1869
35,Apple,"MacBook Air",Ultrabook,13.3,1440,900,0,"  Core i5  ",Intel,1.6,8,"256 ",0,"flash storage",Intel,"Graphics 6000",macos,1,998
36,Lenovo,"IdeaPad 120S-14IAP",Notebook,14,1366,768,0,"  Celeron Dual Core N3350  ",Intel,1.1,4,"64 ",0,"flash storage",Intel,"Graphics 500",windows,1,249
37,Acer,"Aspire 3",Notebook,15.6,1366,768,0,"  Core i3 7130U  ",Intel,2.7,4,1024,0,HDD,Intel,"Graphics 620",linux,2,367
38,Dell,"Inspiron 5770",Notebook,17.3,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,"128 ",1024,hybrid,AMD,"Radeon 530",windows,3,979
39,HP,"250 G6",Notebook,15.6,1366,768,0,"  Core i5 7200U  ",Intel,2.5,4,1024,0,HDD,Intel,"Graphics 620",windows,2,489
40,HP,"ProBook 450",Notebook,15.6,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,"256 ",0,SSD,Nvidia,"930MX ",windows,2,879
41,Asus,"X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)",Notebook,15.6,1920,1080,0,"  Core i3 6006U  ",Intel,2,4,1024,0,HDD,Intel,"Graphics 620",linux,2,389
42,Dell,"Inspiron 7577",Gaming,15.6,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,16,"256 ",1024,hybrid,Nvidia,"GTX 1060",windows,3,1499
43,Asus,"X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce",Notebook,15.6,1366,768,0,"  Core i5 7200U  ",Intel,2.5,8,1024,0,HDD,Nvidia,"GeForce 940MX",linux,2,523
44,Acer,"Aspire A515-51G",Notebook,15.6,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,4,"256 ",0,SSD,Intel,"Graphics 620",windows,2,682
45,Dell,"Inspiron 7773","2 in 1 Convertible",17.3,1920,1080,1,"  Core i5 8250U  ",Intel,1.6,12,1024,0,HDD,Nvidia,"GeForce 150MX",windows,3,999
46,Apple,"MacBook Pro",Ultrabook,13.3,2560,1600,0,"  Core i5  ",Intel,2,8,"256 ",0,SSD,Intel,"Graphics 540",macos,1,1419
47,Lenovo,"IdeaPad 320-15ISK",Notebook,15.6,1366,768,0,"  Core i3 6006U  ",Intel,2,4,"128 ",0,SSD,Intel,"Graphics 520",N/A,2,369
48,Asus,"Rog Strix",Gaming,17.3,1920,1080,0,"  Ryzen 1700  ",AMD,3,8,"256 ",1024,hybrid,AMD,"RX 580",windows,3,1299
49,Dell,"Inspiron 3567",Notebook,15.6,1920,1080,0,"  Core i5 7200U  ",Intel,2.5,4,"256 ",0,SSD,AMD,"R5 M430",windows,2,639
50,Asus,"X751NV-TY001T (N4200/4GB/1TB/GeForce",Notebook,17.3,1366,768,0,"  Pentium Quad Core N4200  ",Intel,1.1,4,1024,0,HDD,Nvidia,"GeForce 920MX",windows,3,466
51,Lenovo,"Yoga Book","2 in 1 Convertible",10.1,1920,1200,1,"  Atom x5-Z8550  ",Intel,1.44,4,"64 ",0,"flash storage",Intel,"Graphics 400",others,1,319
52,Acer,"Aspire A515-51G",Notebook,15.6,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"256 ",0,SSD,Nvidia,"GeForce MX150",windows,2,841
53,HP,"255 G6",Notebook,15.6,1920,1080,0,"  A6-Series 9220  ",AMD,2.5,4,"256 ",0,SSD,AMD,"R4 Graphics",windows,2,398
54,HP,"ProBook 430",Notebook,13.3,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"512 ",0,SSD,Intel,"Graphics 620",windows,1,1103
55,Acer,"Aspire 3",Notebook,15.6,1366,768,0,"  Core i3 7100U  ",Intel,2.4,4,1024,0,HDD,Intel,"Graphics 620",windows,2,384
56,Dell,"Inspiron 3576",Notebook,15.6,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"256 ",0,SSD,AMD,"Radeon 520",windows,2,768
57,HP,"15-bs002nv (i3-6006U/4GB/128GB/FHD/W10)",Notebook,15.6,1920,1080,0,"  Core i3 6006U  ",Intel,2,4,"128 ",0,SSD,Intel,"Graphics 520",windows,2,439
58,Asus,"VivoBook Max",Notebook,15.6,1366,768,0,"  Core i5 7200U  ",Intel,2.5,4,"256 ",0,SSD,Intel,"Graphics 620",windows,2,586
59,MSI,"GS73VR 7RG",Gaming,17.3,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,16,"256 ",2048,hybrid,Nvidia,"GTX 1070",windows,2,2449
60,Asus,"X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux)",Notebook,15.6,1920,1080,0,"  Core i3 6006U  ",Intel,2,4,"256 ",0,SSD,Intel,"Graphics 520",linux,2,415
61,Dell,"Inspiron 5770",Notebook,17.3,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,16,"256 ",2048,hybrid,AMD,"Radeon 530",windows,3,1299
62,Dell,"Vostro 5471",Ultrabook,14,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,879
63,Lenovo,"IdeaPad 520S-14IKB",Notebook,14,1920,1080,0,"  Core i3 7130U  ",Intel,2.7,8,"256 ",0,SSD,Intel,"Graphics 620",N/A,2,599
64,Asus,"UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)",Notebook,14,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,"256 ",0,SSD,Intel,"Graphics 620",windows,1,941
66,HP,"250 G6",Notebook,15.6,1920,1080,0,"  Core i5 7200U  ",Intel,2.5,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,690
67,Asus,"ZenBook Pro",Ultrabook,15.6,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,16,"512 ",0,SSD,Nvidia,"1050 Ti",windows,2,1983
68,HP,"250 G6",Notebook,15.6,1366,768,0,"  Core i3 6006U  ",Intel,2,4,"500 ",0,HDD,AMD,"Radeon 520",windows,2,439
69,HP,"Stream 14-AX040wm",Notebook,14,1366,768,0,"  Celeron Dual Core N3060  ",Intel,1.6,4,"32 ",0,SSD,Intel,"Graphics 400",windows,1,229
70,Lenovo,"V310-15ISK (i5-7200U/4GB/1TB/FHD/W10)",Notebook,15.6,1920,1080,0,"  Core i5 7200U  ",Intel,2.5,4,1024,0,HDD,Intel,"Graphics 620",windows,2,549
71,Asus,"FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce",Gaming,17.3,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,12,1024,0,HDD,Nvidia,"1050 Ti",linux,3,949
72,Microsoft,"Surface Laptop",Ultrabook,13.5,2256,1504,1,"  Core i5 7200U  ",Intel,2.5,4,"128 ",0,SSD,Intel,"Graphics 620",windows,1,1089
73,Dell,"Inspiron 5370",Ultrabook,13.3,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"256 ",0,SSD,AMD,"Radeon 530",windows,1,955
74,Dell,"Inspiron 5570",Notebook,15.6,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"256 ",0,SSD,AMD,"Radeon 530",windows,2,870
75,MSI,"GL72M 7RDX",Gaming,17.3,1920,1080,0,"  Core i5 7300HQ  ",Intel,2.5,8,"128 ",1024,hybrid,Nvidia,"GTX 1050",windows,3,1095
76,Acer,"Aspire E5-475",Notebook,14,1366,768,0,"  Core i3 6006U  ",Intel,2,8,1024,0,HDD,Intel,"Graphics 520",windows,2,389
77,Asus,"FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce",Gaming,15.6,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,8,1024,0,HDD,Nvidia,"GTX 1050",windows,2,949
78,Lenovo,"IdeaPad 320-15IKBN",Notebook,15.6,1920,1080,0,"  Core i5 7200U  ",Intel,2.5,8,2048,0,HDD,Intel,"Graphics 620",N/A,2,519
79,Dell,"Inspiron 5570",Notebook,15.6,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"128 ",1024,hybrid,Intel,"Graphics 620",windows,2,855
80,Acer,"Aspire A515-51G-32MX",Notebook,15.6,1920,1080,0,"  Core i3 7130U  ",Intel,2.7,4,1024,0,HDD,Nvidia,"GeForce MX130",windows,2,530
81,HP,"ProBook 470",Notebook,17.3,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,"128 ",1024,hybrid,Nvidia,"GeForce 930MX",windows,2,977
82,Dell,"Latitude 5590",Ultrabook,15.6,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,1096
83,Apple,"MacBook 12""",Ultrabook,12,2304,1440,0,"  Core i5  ",Intel,1.3,8,"512 ",0,SSD,Intel,"Graphics 615",macos,1,1510
84,HP,"ProBook 440",Notebook,14,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,860
85,Lenovo,"IdeaPad 320-15AST",Notebook,15.6,1920,1080,0,"  A6-Series 9220  ",AMD,2.5,4,"128 ",0,SSD,AMD,"R4 Graphics",windows,2,399
86,Acer,"Aspire 3",Notebook,15.6,1366,768,0,"  A9-Series 9420  ",AMD,3,4,1024,0,HDD,AMD,"Radeon R5",windows,2,395
87,Dell,"Inspiron 7577",Gaming,15.6,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,16,"128 ",1024,hybrid,Nvidia,"1050 Ti",windows,3,1349
88,HP,"Pavilion 15-CK000nv",Ultrabook,15.6,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"256 ",0,SSD,Nvidia,"GTX 940MX",windows,2,699
89,HP,"250 G6",Notebook,15.6,1920,1080,0,"  Core i5 7200U  ",Intel,2.5,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,599
90,Asus,"FX503VM-E4007T (i7-7700HQ/16GB/1TB",Gaming,15.6,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,16,"128 ",1024,hybrid,Nvidia,"GTX 1060",windows,2,1449
91,Dell,"XPS 13",Ultrabook,13.3,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"256 ",0,SSD,Intel,"Graphics 620",windows,1,1649
92,Asus,"FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon",Gaming,15.6,1920,1080,0,"  FX 9830P  ",AMD,3,8,1024,0,HDD,AMD,"RX 560",windows,2,699
93,Acer,"Aspire 5",Notebook,15.6,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,1024,0,HDD,Nvidia,"GeForce MX150",windows,2,689
94,HP,"Probook 430",Notebook,13.3,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,16,"512 ",0,SSD,Intel,"Graphics 620",windows,1,1197
95,Dell,"Inspiron 7577",Gaming,15.6,1920,1080,0,"  Core i5 7300HQ  ",Intel,2.5,8,"256 ",0,SSD,Nvidia,"GTX 1060",windows,3,1195
